"MJD	band	Flux	Flux_err	FilterSet	Instr"
"57985.746	Sinistro_w	6.357476643230298e-17	7.612088092843927e-18	KN_Filters_clean	Sinistro"
"57985.75	Sinistro_w	7.232438898334967e-17	3.996793438389671e-18	KN_Filters_clean	Sinistro"
"57985.9687	EFOSC2_V	3.656737375961671e-17	6.735959176720816e-18	KN_Filters_clean	EFOSC2"
"57985.9728	FourStar_J	6.618524083235344e-17	6.095885956678287e-19	KN_Filters_clean	FourStar"
"57985.982575	DECam_Y	8.116846399644758e-17	2.608839675520377e-18	KN_Filters_clean	DECam"
"57985.9836053	DECam_z	6.442581117181533e-17	1.9920814976528647e-18	KN_Filters_clean	DECam"
"57985.984105	DECam_u	8.030986872165804e-18	2.371032247970157e-18	KN_Filters_clean	DECam"
"57985.98427180001	DECam_i	8.327931215143988e-17	2.42172433102879e-18	KN_Filters_clean	DECam"
"57985.9849566	DECam_r	8.162786680161837e-17	3.2713890461751813e-18	KN_Filters_clean	DECam"
"57985.98563919999	DECam_g	3.962852445758823e-17	3.0259101780109e-18	KN_Filters_clean	DECam"
"57985.9893	Swope_V	3.693502360477278e-17	4.082209668553588e-18	KN_Filters_clean	Swope"
"57985.9951	Swope_B	2.2069355433804675e-17	2.6424615793662675e-18	KN_Filters_clean	Swope"
"57986.0013	Swope_g	4.574468145061855e-17	2.1066204318357603e-18	KN_Filters_clean	Swope"
"57986.0046	Swope_i	7.205303034763742e-17	3.318164671672605e-18	KN_Filters_clean	Swope"
"57986.0076	Swope_r	5.268745188450515e-17	4.367424286698102e-18	KN_Filters_clean	Swope"
"57986.0156	EFOSC2_V	3.6232122061890725e-17	5.0056526488440285e-18	KN_Filters_clean	EFOSC2"
"57986.0531	EFOSC2_V	3.2143544916147943e-17	9.177642672629362e-18	KN_Filters_clean	EFOSC2"
"57986.715	Sinistro_r	3.4557849060113055e-17	9.866976123372207e-18	KN_Filters_clean	Sinistro"
"57986.969	Sinistro_r	3.6186510310020125e-17	9.332122151231268e-18	KN_Filters_clean	Sinistro"
"57986.971	RetroCam_Y	7.528866719237316e-17	1.386868501993796e-18	KN_Filters_clean	RetroCam"
"57986.97524169999	DECam_Y	6.158598945419583e-17	1.7043116599586215e-18	KN_Filters_clean	DECam"
"57986.977667299994	DECam_z	5.133076546560872e-17	1.2741898234873672e-18	KN_Filters_clean	DECam"
"57986.9800763	DECam_i	5.2672797556127906e-17	1.266718098038217e-18	KN_Filters_clean	DECam"
"57986.983	RetroCam_H	3.803032828344999e-17	7.005445358960991e-19	KN_Filters_clean	RetroCam"
"57986.9836909	DECam_r	3.3670504068645765e-17	1.5044810779546605e-18	KN_Filters_clean	DECam"
"57986.9885	Swope_i	4.673607652502036e-17	1.7218206897817982e-18	KN_Filters_clean	Swope"
"57986.9909464	DECam_g	1.89282556545099e-17	1.9440007243291282e-18	KN_Filters_clean	DECam"
"57986.992	Sinistro_w	3.9745207923142326e-17	3.294602038138004e-18	KN_Filters_clean	Sinistro"
"57986.9965	Swope_r	2.616418404260594e-17	2.891772487053861e-18	KN_Filters_clean	Swope"
"57986.998	RetroCam_J	5.272744130667026e-17	9.71275362754851e-19	KN_Filters_clean	RetroCam"
"57987.0044	Swope_g	1.8549858779628394e-17	1.7085051321245337e-18	KN_Filters_clean	Swope"
"57987.358	Sinistro_r	2.412941002894301e-17	7.333922618279807e-18	KN_Filters_clean	Sinistro"
"57987.974538	DECam_Y	3.958709770740411e-17	6.555894845253096e-18	KN_Filters_clean	DECam"
"57987.9769536	DECam_z	3.6620447384781426e-17	3.5740501662460986e-18	KN_Filters_clean	DECam"
"57987.97936340001	DECam_i	3.8873900324310305e-17	6.510268223310491e-18	KN_Filters_clean	DECam"
"57987.98297999999	DECam_r	2.0438512723971643e-17	4.5641178092453125e-18	KN_Filters_clean	DECam"
"57987.9902378	DECam_g	1.4318489524641122e-17	5.572525411736592e-18	KN_Filters_clean	DECam"
"57988.0	RetroCam_H	3.7681664137983153e-17	6.941219049860756e-18	KN_Filters_clean	RetroCam"
"57988.0	RetroCam_Y	5.980391410571388e-17	5.50814404490076e-18	KN_Filters_clean	RetroCam"
