MJD	ACS_WFC_F475W	ACS_WFC_F475W_err	ACS_WFC_F625W	ACS_WFC_F625W_err	ACS_WFC_F775W	ACS_WFC_F775W_err	ACS_WFC_F850W	ACS_WFC_F850W_err	DECam_Y	DECam_Y_err	DECam_g	DECam_g_err	DECam_i	DECam_i_err	DECam_r	DECam_r_err	DECam_u	DECam_u_err	DECam_z	DECam_z_err	EFOSC2_U	EFOSC2_U_err	EFOSC2_V	EFOSC2_V_err	FourStar_H	FourStar_H_err	FourStar_J	FourStar_J_err	FourStar_J1	FourStar_J1_err	FourStar_Ks	FourStar_Ks_err	LRIS_I	LRIS_I_err	RetroCam_H	RetroCam_H_err	RetroCam_J	RetroCam_J_err	RetroCam_Y	RetroCam_Y_err	SOFI_H	SOFI_H_err	SOFI_Ks	SOFI_Ks_err	Sinistro_g	Sinistro_g_err	Sinistro_i	Sinistro_i_err	Sinistro_r	Sinistro_r_err	Sinistro_w	Sinistro_w_err	Sinistro_z	Sinistro_z_err	Swope_B	Swope_B_err	Swope_V	Swope_V_err	Swope_g	Swope_g_err	Swope_i	Swope_i_err	Swope_r	Swope_r_err	UVOT_U	UVOT_U_err	WFC3_IR_F110W	WFC3_IR_F110W_err	WFC3_IR_F160W	WFC3_IR_F160W_err	WFC3_UVIS1_F336W	WFC3_UVIS1_F336W_err
57982.77000000004	nan	nan	nan	nan	nan	nan	nan	nan	5.000380990609713e-18	6.835881975119228e-19	9.917406988524814e-18	1.4153402519057806e-18	7.872355597346125e-17	1.7198055078268584e-18	8.036342988979407e-18	1.1232506188681702e-18	4.43554674432026e-18	6.219959813586755e-19	4.653258220181283e-17	1.050683857941781e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0415101620759729e-16	5.314696614126357e-18	nan	nan	5.31850275277991e-17	2.7316946456039953e-18	nan	nan	nan	nan	nan	nan	9.217042151597284e-18	1.350375436520438e-18	nan	nan	8.788743770347331e-17	1.7567240532954885e-18	nan	nan	1.4977725809601796e-16	4.8971944187531924e-18	nan	nan	nan	nan	nan	nan
57982.78000000004	nan	nan	nan	nan	nan	nan	nan	nan	5.382064310600695e-18	7.112205691402665e-19	1.067343836250234e-17	1.4696703240834056e-18	8.366765096896827e-17	1.7853378159944787e-18	8.649114988288434e-18	1.167507646280627e-18	4.774847608031391e-18	6.464165823272564e-19	4.946962817481167e-17	1.092261458648619e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1223629375685912e-16	5.493916151286512e-18	nan	nan	5.748403089599041e-17	2.8238856395847308e-18	nan	nan	nan	nan	nan	nan	9.915781716004388e-18	1.405278595076711e-18	nan	nan	9.359541395536694e-17	1.8194236504429913e-18	nan	nan	1.6004583007356209e-16	5.08596738439968e-18	nan	nan	nan	nan	nan	nan
57982.790000000045	nan	nan	nan	nan	nan	nan	nan	nan	5.7734822937902304e-18	7.332838833065994e-19	1.1448889054775907e-17	1.5119630932495022e-18	8.866747117081526e-17	1.8510293851636328e-18	9.277549532847322e-18	1.2024115219024906e-18	5.123119823905135e-18	6.6564277168714115e-19	5.244252694272211e-17	1.134188244491186e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2060441111355055e-16	5.670702884569413e-18	nan	nan	6.196380221873566e-17	2.914800993160751e-18	nan	nan	nan	nan	nan	nan	1.0634502211257723e-17	1.4488315522835403e-18	nan	nan	9.938761906144655e-17	1.882215003481781e-18	nan	nan	1.705370303849184e-16	5.277259720294275e-18	nan	nan	nan	nan	nan	nan
57982.80000000005	nan	nan	nan	nan	nan	nan	nan	nan	6.175214055735978e-18	7.502566927603409e-19	1.224491935184354e-17	1.5432691923820015e-18	9.371428124510686e-17	1.9170588739276617e-18	9.92257965209259e-18	1.2287726161406389e-18	5.480908654397128e-18	6.801251358691388e-19	5.544637521011039e-17	1.176579275501926e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.292553500235379e-16	5.846217548665187e-18	nan	nan	6.662740134564467e-17	3.005014593178897e-18	nan	nan	nan	nan	nan	nan	1.1374471214180467e-17	1.4818478428058706e-18	nan	nan	1.0525187290446457e-16	1.9452231947710076e-18	nan	nan	1.812371484744946e-16	5.4719054697974855e-18	nan	nan	nan	nan	nan	nan
57982.81000000005	nan	nan	nan	nan	nan	nan	nan	nan	6.587839325627749e-18	7.627034773307566e-19	1.306269076467586e-17	1.564829497710575e-18	9.879904041679636e-17	1.983574665001263e-18	1.0585139362844938e-17	1.2475473422645068e-18	5.848759928345968e-18	6.903955197237797e-19	5.84761145418067e-17	1.2195280475959024e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3818910909347536e-16	6.022030473474755e-18	nan	nan	7.147789910027664e-17	3.095302891295114e-18	nan	nan	nan	nan	nan	nan	1.2136957566942021e-17	1.5052942278675348e-18	nan	nan	1.1117582827990137e-16	2.00860727537479e-18	nan	nan	1.9212969878808688e-16	5.6702137943062386e-18	nan	nan	nan	nan	nan	nan
57982.82000000005	nan	nan	nan	nan	nan	nan	nan	nan	7.01193848071022e-18	7.712784505026325e-19	1.3903366097693367e-17	1.5780872128883567e-18	1.0391259905331258e-16	2.050736526348215e-18	1.1266163724772952e-17	1.2598460443331562e-18	6.2272200734093726e-18	6.970715246609456e-19	6.152663469213933e-17	1.263132970887621e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4740570378297512e-16	6.200074190542671e-18	nan	nan	7.651837746015442e-17	3.1866197511455416e-18	nan	nan	nan	nan	nan	nan	1.2923231452518645e-17	1.5203002737654902e-18	nan	nan	1.1714688666659767e-16	2.0725307136360984e-18	nan	nan	2.031975103113794e-16	5.872488032858619e-18	nan	nan	nan	nan	nan	nan
57982.83000000005	nan	nan	nan	nan	nan	nan	nan	nan	7.448092580733624e-18	7.767294334186935e-19	1.476810951780369e-17	1.5847001277458968e-18	1.0904567314010684e-16	2.118687612268628e-18	1.1966588895904744e-17	1.2669409899474702e-18	6.616836148514497e-18	7.008610659229208e-19	6.45927703024111e-17	1.3074790705840725e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5690359679608649e-16	6.3820497891662194e-18	nan	nan	8.175106585481481e-17	3.2797912945054974e-18	nan	nan	nan	nan	nan	nan	1.3734564470217702e-17	1.5281704420545835e-18	nan	nan	1.2315235039125421e-16	2.1371959810487377e-18	nan	nan	2.1442328491758227e-16	6.079086285683379e-18	nan	nan	nan	nan	nan	nan
57982.840000000055	nan	nan	nan	nan	nan	nan	nan	nan	7.896883402435829e-18	7.79899513780419e-19	1.5658086623482995e-17	1.5865477964935133e-18	1.141889365416635e-16	2.1875865534935896e-18	1.268735218817331e-17	1.2702705114161445e-18	7.01815587633943e-18	7.025647815121414e-19	6.766934295292414e-17	1.3526584551881138e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.66674989158324e-16	6.567828734545475e-18	nan	nan	8.717474963720117e-17	3.3746955571830422e-18	nan	nan	nan	nan	nan	nan	1.4572229711265465e-17	1.5303954766839402e-18	nan	nan	1.2917937981889748e-16	2.2028070765713346e-18	nan	nan	2.257891839521398e-16	6.290081048308152e-18	nan	nan	nan	nan	nan	nan
57982.85000000006	nan	nan	nan	nan	nan	nan	nan	nan	8.35889347405646e-18	7.817236689341005e-19	1.657446451394346e-17	1.5857266864836996e-18	1.1933302686271347e-16	2.2575831206346277e-18	1.3429392123035692e-17	1.2714342357417383e-18	7.431727675828665e-18	7.030734565019943e-19	7.075117532916354e-17	1.3987544075583766e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7671052856272281e-16	6.7570268113521046e-18	nan	nan	9.278736166398305e-17	3.471069218243667e-18	nan	nan	nan	nan	nan	nan	1.5437501834471628e-17	1.5286589165042578e-18	nan	nan	1.3521513347856127e-16	2.2695747087407503e-18	nan	nan	2.3727723951986354e-16	6.5055979727020505e-18	nan	nan	nan	nan	nan	nan
57982.86000000006	nan	nan	nan	nan	nan	nan	nan	nan	8.834706109885242e-18	7.832169055807472e-19	1.751841185835927e-17	1.584524371731211e-18	1.2446857858619687e-16	2.3288434953835642e-18	1.4193648487134073e-17	1.2721730623642246e-18	7.85810069473869e-18	7.033568959966044e-19	7.383309919267763e-17	1.445857624283622e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8700087840114083e-16	6.949567009054286e-18	nan	nan	9.85868460490741e-17	3.568795634420499e-18	nan	nan	nan	nan	nan	nan	1.6331657141938367e-17	1.5248330241167717e-18	nan	nan	1.4124679256140625e-16	2.3377513003709654e-18	nan	nan	2.4886949085166703e-16	6.7259277973135326e-18	nan	nan	nan	nan	nan	nan
