MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56459.830000000096	5.431892089495654e-16	9.744275564673807e-17	1.3253891447481085e-16	2.4209237028431633e-17	3.3445243266485975e-16	6.189772906264222e-17	3.480949575211295e-16	1.2390782131895749e-16	4.69458502328644e-16	6.39217990429571e-17	3.872857612454261e-16	4.358313580915626e-17	1.480384814679917e-16	4.64547676340173e-17	3.5873975285102026e-16	8.133579621647305e-17	1.3638354931378416e-16	3.1318760368347054e-17
56459.8800000001	5.69325719027493e-16	9.363119688229558e-17	1.3930204524555326e-16	2.3783578258239252e-17	3.4875325743816475e-16	6.124577647165173e-17	3.703633651024768e-16	1.2395477331606746e-16	4.8869799211102945e-16	6.289586501280484e-17	4.1121246961147543e-16	4.195046394379156e-17	1.5603719817545362e-16	4.583186064596419e-17	3.7419029247780414e-16	8.007743752897466e-17	1.4197800238690297e-16	3.078531154901483e-17
56459.9300000001	5.955212223836436e-16	8.987955891473502e-17	1.4607034571127655e-16	2.33622669449501e-17	3.6306171864646034e-16	6.060372236457976e-17	3.926732290457929e-16	1.2400347503806198e-16	5.079550208705124e-16	6.189831109862834e-17	4.3516309309552346e-16	4.033267833604379e-17	1.6407042141663214e-16	4.522243099394396e-17	3.896523946377972e-16	7.882611599072214e-17	1.4758480316907112e-16	3.026079547633459e-17
56459.980000000105	6.217634822623095e-16	8.618618952992783e-17	1.5284377757972546e-16	2.294531076842074e-17	3.773776145538994e-16	5.997147017410213e-17	4.1499914284551417e-16	1.2400871580826878e-16	5.272289984878445e-16	6.09294068693648e-17	4.591376318715721e-16	3.873003956089115e-17	1.721378817436807e-16	4.462535433851837e-17	4.051260657818399e-16	7.758191388203488e-17	1.5320314154032434e-16	2.974451647482926e-17
56460.03000000011	6.480402632536473e-16	8.255090018795091e-17	1.5962230256099736e-16	2.2532720049303304e-17	3.9170074345534803e-16	5.934892201157012e-17	4.3731570048522954e-16	1.2393381336999436e-16	5.465193348599934e-16	5.998942128743926e-17	4.831360861322251e-16	3.714286330543285e-17	1.8023931014545426e-16	4.403952100237857e-17	4.2061131244185164e-16	7.634491622687595e-17	1.5883220749247607e-16	2.923579802915841e-17
56460.08000000011	6.743393308949921e-16	7.897525633740582e-17	1.6640588235203176e-16	2.21245079340441e-17	4.060309036523137e-16	5.873597869896088e-17	4.595974932285631e-16	1.2375018397385058e-16	5.658254399012563e-16	5.907862087296492e-17	5.071584561273181e-16	3.557153067535657e-17	1.883744380438668e-16	4.3463839617876055e-17	4.3610814115789372e-16	7.511521094416077e-17	1.64471191121036e-16	2.873398567580672e-17
56460.130000000114	7.006484512715403e-16	7.546292350350313e-17	1.7319447867358772e-16	2.1720690583037296e-17	4.203678933714634e-16	5.813253980004104e-17	4.818191064100254e-16	1.2343684742795044e-16	5.851467235412761e-16	5.819726765792154e-17	5.312047420279953e-16	3.401650089349538e-17	1.9654299728969004e-16	4.289724061463934e-17	4.516165584214302e-16	7.389288900261761e-17	1.7011928261700754e-16	2.823844985811862e-17
56460.18000000012	7.2695539061754e-16	7.202008115925336e-17	1.7998805322945268e-16	2.1321287373871402e-17	4.347115109434121e-16	5.753850366734561e-17	5.039551162251275e-16	1.2297992318060017e-16	6.044825957136134e-16	5.734561691660121e-17	5.5527494409267925e-16	3.2478326973510934e-17	2.0474472015914765e-16	4.2338679531513934e-17	4.67136570760434e-16	7.267804457917292e-17	1.757756722582783e-16	2.774858874357999e-17
56460.23000000012	7.532479149173378e-16	6.865591654097084e-17	1.867865677365026e-16	2.0926321106916232e-17	4.49061554660336e-16	5.69537674634949e-17	5.259800865197085e-16	1.2237215172308044e-16	6.238324663804638e-16	5.652391469212593e-17	5.793690625941022e-16	3.0957675298152236e-17	2.1297933934984627e-16	4.1787140140311886e-17	4.826681847029108e-16	7.147077524374629e-17	1.8143955040187422e-16	2.726383100560596e-17
56460.28000000012	7.795137895062687e-16	6.538320809528374e-17	1.9358998390346494e-16	2.053581822968026e-17	4.634178227914768e-16	5.637822720092275e-17	5.478685655778132e-16	1.2161245839042275e-16	6.431957455059198e-16	5.573239510551221e-17	6.034870977849659e-16	2.9455350137798273e-17	2.2124658797703772e-16	4.124163737366517e-17	4.982114067768946e-16	7.027118213697594e-17	1.8711010747527826e-16	2.678363857453203e-17
56460.330000000125	8.057407786716305e-16	6.221900055703604e-17	2.0039826345882785e-16	2.0149809061758282e-17	4.777801136312885e-16	5.581177777282073e-17	5.695950829084247e-16	1.2070556334531106e-16	6.625718430668652e-16	5.497127747758548e-17	6.276290499265587e-16	2.7972324688104165e-17	2.2954619956976413e-16	4.070122005201969e-17	5.137662434983092e-16	6.90793701779644e-17	1.9278653396846934e-16	2.630750936632112e-17
56460.38000000013	8.319166452537319e-16	5.91853564922079e-17	2.0721136811053551e-16	1.9768328031480306e-17	4.921482254490226e-16	5.525431297743056e-17	5.911341460301611e-16	1.1966163109120711e-16	6.819601690524543e-16	5.4240763256665544e-17	6.517949192930465e-16	2.650978054869702e-17	2.378779080674359e-16	4.0164973409166317e-17	5.293327014398322e-16	6.789544827263919e-17	1.9846802042539397e-16	2.5834980000195116e-17
56460.43000000013	8.58029150246886e-16	5.631013612148933e-17	2.1402925958390647e-16	1.9391413925249475e-17	5.065219565786381e-16	5.470572555001945e-17	6.124602372539616e-16	1.1849594419424635e-16	7.013601334710521e-16	5.354103278112226e-17	6.759847062186893e-16	2.5069158368817376e-17	2.4624144781527124e-16	3.963202141885928e-17	5.449107871052947e-16	6.671952954163951e-17	2.0415375743598669e-16	2.5365628520012242e-17
56460.480000000134	8.840660524001458e-16	5.362770034125614e-17	2.2085189959659173e-16	1.9019110138958572e-17	5.209011052856099e-16	5.416590717949072e-17	6.335478104633536e-16	1.1722857811562078e-16	7.207711463284195e-16	5.2872241914013874e-17	7.001984110005482e-16	2.3652223143921858e-17	2.546365535611526e-16	3.910152892769574e-17	5.605005070471908e-16	6.555173156483045e-17	2.0984293562776438e-16	2.4899077136408112e-17
56460.53000000014	9.100151078181356e-16	5.1179344430918086e-17	2.2767924987503474e-16	1.8651464950406956e-17	5.352854698866864e-16	5.363474853934511e-17	6.543712878920804e-16	1.1588404660949065e-16	7.401926176503427e-16	5.223451855371573e-17	7.244360339170857e-16	2.2261149003198703e-17	2.6306296045169676e-16	3.857270360282537e-17	5.761018678018303e-16	6.439217663601694e-17	2.1553474565748357e-16	2.4434995010865974e-17
56460.58000000014	9.358640695619448e-16	4.901315535722483e-17	2.345112721470719e-16	1.8288531783969504e-17	5.496748486641886e-16	5.3112139296405355e-17	6.749050568986996e-16	1.144908799159911e-16	7.596239574663145e-16	5.1627959085437756e-17	7.486975753769652e-16	2.0898629691463263e-17	2.7152040402832013e-16	3.804479770501813e-17	5.917148759379832e-16	6.324099204144624e-17	2.2122837820324097e-16	2.397310110443146e-17
