MKO K band

at 20� C and 0� AOI

MKO K band 2150/320	
MAN320A			
65mm diameter part	
DELIVERED PC AT ROOM TEMP WITH 77K SHIFT�
298K	calc @77K
peak T%	97.27055	97.50955	
Cut-on:	1990.5	1988.4	
Cut-off:	2309	2306.3	
LP Slope	1.27%	1.27%	
SP Slope	1.16%	1.18%	
slope defined from 90% to 10%	
wl(nm)	T%		
1961	1.188382		
1960.5	1.103117		
1960	1.019995		
1959.5	0.939662		
1959	0.871612		
1958.5	0.802375		
1958	0.741838		
1957.5	0.687278		
1957	0.638637		
1956.5	0.595703		
1956	0.556789		
1955.5	0.518065		
1955	0.477982		
1954.5	0.44692		
1954	0.416895		
1953.5	0.393738		
1953	0.365844		
1952.5	0.347293		
1952	0.328024		
1951.5	0.302979		
1951	0.296279		
1950.5	0.278556		
1950	0.258083		
1949.5	0.250175		
1949	0.234287		
1948.5	0.222599		
1948	0.20924		
1947.5	0.197996		
1947	0.191279		
1946.5	0.180394		
1946	0.173103		
1945.5	0.165326		
1945	0.162863		
1944.5	0.157498		
1944	0.144611		
1943.5	0.145561		
1943	0.139199		
1942.5	0.13025		
1942	0.127559		
1941.5	0.121844		
1941	0.120002		
1940.5	0.117338		
1940	0.11338		
1939.5	0.105642		
1939	0.107006		
1938.5	0.101153		
1938	0.095917		
1937.5	0.092306		
1937	0.096332		
1936.5	0.088145		
1936	0.093287		
1935.5	0.085619		
1935	0.081776		
1934.5	0.085168		
1934	0.080383		
1933.5	0.080536		
1933	0.080957		
1932.5	0.072853		
1932	0.064733		
1931.5	0.076143		
1931	0.068516		
1930.5	0.059444		
1930	0.064643		
1929.5	0.060311		
1929	0.067712		
1928.5	0.060273		
1928	0.05607		
1927.5	0.058467		
1927	0.055361		
1926.5	0.05357		
1926	0.04869		
1925.5	0.048346		
1925	0.048247		
1924.5	0.047492		
1924	0.050376		
1923.5	0.035035		
1923	0.038581		
1922.5	0.036122		
1922	0.03758		
1921.5	0.033953		
1921	0.038016		
1920.5	0.031938		
1920	0.030824		
1919.5	0.02866		
1919	0.026326		
1918.5	0.028457		
1918	0.02672		
1917.5	0.025721		
1917	0.025561		
1916.5	0.02391		
1916	0.027331		
1915.5	0.022917		
1915	0.021367		
1914.5	0.024542		
1914	0.019096		
1913.5	0.016555		
1913	0.015238		
1912.5	0.012554		
1912	0.018913		
1911.5	0.018556		
1911	0.013448		
1910.5	0.017068		
1910	0.016193		
1909.5	0.018055		
1909	0.016806		
1908.5	0.017857		
1908	0.017658		
1907.5	0.013253		
1907	0.00979		
1906.5	0.012904		
1906	0.014833		
1905.5	0.014134		
1905	0.016231		
1904.5	0.013346		
1904	0.009699		
1903.5	0.01013		
1903	0.013044		
1902.5	0.014098		
1902	0.01446		
1901.5	0.013349		
1901	0.009721		
1900.5	0.011195		
1900	0.017692		
1899.5	0.00864		
1899	0.012982		
1898.5	0.013927		
1898	0.010098		
1897.5	0.00894		
1897	0.006126		
1896.5	0.010927		
1896	0.011859		
1895.5	0.013158		
1895	0.015771		
1894.5	0.006872		
1894	0.009439		
1893.5	0.01085		
1893	0.011375		
1892.5	0.013192		
1892	0.008045		
1891.5	0.012308		
1891	0.013608		
1890.5	0.012797		
1890	0.01469		
1889.5	0.013328		
1889	0.007254		
1888.5	0.011699		
1888	0.011697		
1887.5	0.005853		
1887	0.010947		
1886.5	0.012841		
1886	0.011776		
1885.5	0.007711		
1885	0.010648		
1884.5	0.010086		
1884	0.008896		
1883.5	0.009277		
1883	0.010797		
1882.5	0.015456		
1882	0.007293		
1881.5	0.010933		
1881	0.012272		
1880.5	0.009669		
1880	0.010592		
1879.5	0.014239		
1879	0.006588		
1878.5	0.013612		
1878	0.014073		
1877.5	0.011531		
1877	0.00998		
1876.5	0.007552		
1876	0.013127		
1875.5	0.013053		
1875	0.009086		
1874.5	0.012808		
1874	0.012835		
1873.5	0.010416		
1873	0.015819		
1872.5	0.011166		
1872	0.0151		
1871.5	0.012366		
1871	0.009198		
1870.5	0.011449		
1870	0.00263		
1869.5	0.011788		
1869	0.008468		
1868.5	0.013722		
1868	0.011194		
1867.5	0.008793		
1867	0.00519		
1866.5	0.005295		
1866	0.014117		
1865.5	0.008189		
1865	0.00699		
1864.5	0.009674		
1864	0.014068		
1863.5	0.008881		
1863	0.00899		
1862.5	0.008234		
1862	0.010174		
1861.5	0.010422		
1861	0.009517		
1860.5	0.009335		
1860	0.013625		
1859.5	0.004591		
1859	0.006809		
1858.5	0.005258		
1858	0.011591		
1857.5	0.005335		
1857	0.010157		
1856.5	0.00827		
1856	0.011139		
1855.5	0.00963		
1855	0.007399		
1854.5	0.008304		
1854	0.010606		
1853.5	0.01073		
1853	0.013491		
1852.5	0.010062		
1852	0.006964		
1851.5	0.007086		
1851	0.007553		
1850.5	0.011313		
1850	0.011694		
1849.5	0.009765		
1849	0.012601		
1848.5	0.008497		
1848	0.012558		
1847.5	0.008854		
1847	0.00914		
1846.5	0.00972		
1846	0.010617		
1845.5	0.008065		
1845	0.012747		
1844.5	0.011186		
1844	0.009153		
1843.5	0.009272		
1843	0.010845		
1842.5	0.006698		
1842	0.006059		
1841.5	0.014031		
1841	0.007585		
1840.5	0.012977		
1840	0.011848		
1839.5	0.007279		
1839	0.013036		
1838.5	0.010051		
1838	0.006117		
1837.5	0.012804		
1837	0.005096		
1836.5	0.010945		
1836	0.007855		
1835.5	0.009979		
1835	0.008086		
1834.5	0.009628		
1834	0.010241		
1833.5	0.007119		
1833	0.010856		
1832.5	0.011474		
1832	0.011986		
1831.5	0.011459		
1831	0.010721		
1830.5	0.014507		
1830	0.00901		
