MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57984.748,18.26,0.15,1.14153706022e-16,1.57709173078e-17,Sinistro_i,Sinistro,GeneralFilters
57984.751,19.06,0.07,1.0747616134e-16,6.92924419471e-18,Sinistro_V,Sinistro,GeneralFilters
57984.751,18.25,0.3,8.07937227436e-17,2.23241305916e-17,Sinistro_z,Sinistro,GeneralFilters
57984.758,19.93,0.21,7.06893173095e-17,1.36725261348e-17,Sinistro_g,Sinistro,GeneralFilters
57984.761,19.8,0.2,7.96808186501e-17,1.46777492177e-17,Sinistro_g,Sinistro,GeneralFilters
57984.761,18.8,0.07,1.04519068903e-16,6.73859339973e-18,GFC_r,GFC,GeneralFilters
57984.962,17.55,0.06,2.60312885647e-17,1.43854216801e-18,FourStar_Ks,FourStar,GeneralFilters
57984.963,17.55,0.01,8.00408242042e-17,7.37203234574e-19,FourStar_J,FourStar,GeneralFilters
57984.968,17.71,0.09,4.0094416993e-17,3.3235490477e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57984.968,19.1,0.11,8.03363289379e-17,8.13917427128e-18,Sinistro_r,Sinistro,GeneralFilters
57984.969,17.64,0.08,4.13868932266e-17,3.04949898844e-18,GROND_H,GROND,GeneralFilters
57984.969,17.73,0.09,7.05078785261e-17,5.84461404118e-18,GROND_J,GROND,GeneralFilters
57984.969,17.66,0.1,2.31051854304e-17,2.12806622172e-18,GROND_K,GROND,GeneralFilters
57984.969,20.19,0.11,5.80149926012e-17,5.87771611388e-18,GROND_g,GROND,GeneralFilters
57984.969,18.58,0.04,7.706277791e-17,2.83909765825e-18,GROND_i,GROND,GeneralFilters
57984.969,19.13,0.17,8.14209132531e-17,1.27485435158e-17,GROND_r,GROND,GeneralFilters
57984.969,18.33,0.06,7.27358140475e-17,4.01952962766e-18,GROND_z,GROND,GeneralFilters
57984.971,17.57,0.01,4.59373531195e-17,4.23098658018e-19,FourStar_H,FourStar,GeneralFilters
57984.971,19.4,0.11,7.74085019518e-17,7.84254515727e-18,EFOSC2_V,EFOSC2,GeneralFilters
57984.975,17.77,0.03,9.31353415465e-17,2.57342458891e-18,DECam_Y,DECam,GeneralFilters
57984.975,18.61,0.15,8.26970496181e-17,1.14250196211e-17,Sinistro_i,Sinistro,GeneralFilters
57984.976,18.18,0.03,7.95575182249e-17,2.198255466e-18,DECam_z,DECam,GeneralFilters
57984.976,18.38,0.03,9.48673541908e-17,2.62128186686e-18,DECam_i,DECam,GeneralFilters
57984.977,19.03,0.03,8.063826754e-17,2.22811767315e-18,DECam_r,DECam,GeneralFilters
57984.978,20.21,0.05,5.37944080566e-17,2.47732404155e-18,DECam_g,DECam,GeneralFilters
57984.978,18.46,0.1,9.49489170061e-17,8.74511843577e-18,Sinistro_i,Sinistro,GeneralFilters
57984.979,17.67,0.03,2.33308352506e-17,6.44654801462e-19,VISTA_Ks,VIRCAM,GeneralFilters
57984.98,22.26,0.16,1.0660677916e-17,1.57101555523e-18,DECam_u,DECam,GeneralFilters
57984.98,17.52,0.01,1.04208312693e-16,9.59794029492e-19,FourStar_J1,FourStar,GeneralFilters
57984.982,18.19,0.2,8.538422083e-17,1.57283547248e-17,Sinistro_z,Sinistro,GeneralFilters
57984.989,17.66,0.02,6.79683318651e-17,1.25202294199e-18,VISTA_J,VIRCAM,GeneralFilters
57984.999,17.51,0.02,1.1283492515e-16,2.07849613295e-18,VISTA_Y,VIRCAM,GeneralFilters
57985,18.36,0.02,1.01369734931e-16,1.86729952426e-18,IMACS_i,IMACS,GeneralFilters
57985.002,18.46,0.1,9.49489170061e-17,8.74511843577e-18,Sinistro_i,Sinistro,GeneralFilters
57985.006,18.45,0.11,9.58274685183e-17,9.70863962242e-18,Sinistro_i,Sinistro,GeneralFilters
57985.009,18.93,0.02,7.9441423497e-17,1.46336510008e-18,IMACS_r,IMACS,GeneralFilters
57985.01,19.33,0.18,8.38131467765e-17,1.38950569702e-17,Sinistro_V,Sinistro,GeneralFilters
57985.016,19.53,0.12,6.86734178894e-17,7.59006663922e-18,EFOSC2_V,EFOSC2,GeneralFilters
