MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57985.0537,19.59,0.2,6.4981340005e-17,1.19700051855e-17,EFOSC2_V,EFOSC2,KN_Filters_clean
57985.357,19.36,0.09,6.32283694501e-17,5.2411932342e-18,Sinistro_r,Sinistro,KN_Filters_clean
57985.364,18.53,0.13,8.90204971837e-17,1.06588180289e-17,Sinistro_i,Sinistro,KN_Filters_clean
57985.367,18.62,0.14,8.193887851e-17,1.05655894508e-17,Sinistro_i,Sinistro,KN_Filters_clean
57985.377,19.68,0.05,7.34596223158e-17,3.38294062563e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.381,19.61,0.05,7.83517482291e-17,3.60823134964e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.391,18.7,0.18,7.61184639062e-17,1.2619385301e-17,Sinistro_i,Sinistro,KN_Filters_clean
57985.395,18.63,0.15,8.11876583564e-17,1.1216489512e-17,Sinistro_i,Sinistro,KN_Filters_clean
57985.405,19.53,0.07,8.43429313957e-17,5.43778974287e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.408,19.56,0.08,8.20443523603e-17,6.0452512867e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.726,19.75,0.12,4.4148096407e-17,4.8794279362e-18,Sinistro_r,Sinistro,KN_Filters_clean
57985.733,18.84,0.2,6.69098437201e-17,1.2325248698e-17,Sinistro_i,Sinistro,KN_Filters_clean
57985.736,18.76,0.15,7.20261192141e-17,9.95077610452e-18,Sinistro_i,Sinistro,KN_Filters_clean
57985.740,18.42,0.34,6.90840229281e-17,2.16337704247e-17,Sinistro_z,Sinistro,KN_Filters_clean
57985.746,20.13,0.13,4.85342911571e-17,5.81122543651e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.750,19.99,0.06,5.52139339185e-17,3.05123474799e-18,Sinistro_w,Sinistro,KN_Filters_clean
57985.9687,20.54,0.2,2.70887311449e-17,4.9899286818e-18,EFOSC2_V,EFOSC2,KN_Filters_clean
57985.9728,17.85,0.01,6.07171743281e-17,5.59225841987e-19,FourStar_J,FourStar,KN_Filters_clean
57985.982575,18.053540582,0.0348967018551,7.17295784879e-17,2.30546398261e-18,DECam_Y,DECam,KN_Filters_clean
57985.983605299996,18.5613837282,0.0335715603031,5.59922262894e-17,1.73131041697e-18,DECam_z,DECam,KN_Filters_clean
57985.984104999996,23.0620125727,0.320547847388,5.09307173777e-18,1.50365546896e-18,DECam_u,DECam,KN_Filters_clean
57985.98427180001,18.7253377929,0.0315727125526,6.90210674003e-17,2.007101091e-18,DECam_i,DECam,KN_Filters_clean
57985.9849566,19.2904674945,0.0435129039438,6.34386877488e-17,2.54242376209e-18,DECam_r,DECam,KN_Filters_clean
57985.98563919999,20.9284740878,0.082903420644,2.77554004644e-17,2.11931556649e-18,DECam_g,DECam,KN_Filters_clean
57985.9893,20.52,0.12,2.70969346208e-17,2.99486389073e-18,Swope_V,Swope,KN_Filters_clean
57985.9951,21.72,0.13,1.48408167826e-17,1.77695666156e-18,Swope_B,Swope,KN_Filters_clean
57986.0013,20.77,0.05,3.18825861068e-17,1.46824734991e-18,Swope_g,Swope,KN_Filters_clean
57986.0046,18.92,0.05,5.9257458459e-17,2.72890680993e-18,Swope_i,Swope,KN_Filters_clean
57986.0076,19.82,0.09,4.05606088038e-17,3.362193115e-18,Swope_r,Swope,KN_Filters_clean
57986.0156,20.55,0.15,2.6840380165e-17,3.7081355555e-18,EFOSC2_V,EFOSC2,KN_Filters_clean
57986.0531,20.68,0.31,2.38116046288e-17,6.79870248646e-18,EFOSC2_V,EFOSC2,KN_Filters_clean
57986.715,20.3,0.31,2.6601858697e-17,7.59537736692e-18,Sinistro_r,Sinistro,KN_Filters_clean
57986.969,20.25,0.28,2.78555656728e-17,7.18365875082e-18,Sinistro_r,Sinistro,KN_Filters_clean
57986.9710,18.08,0.02,6.71602065793e-17,1.2371367241e-18,RetroCam_Y,RetroCam,KN_Filters_clean
57986.97524169999,18.3533040928,0.030046328553,5.44243028241e-17,1.50612135504e-18,DECam_Y,DECam,KN_Filters_clean
57986.977667299994,18.8080891149,0.0269513616356,4.46113721082e-17,1.10739350634e-18,DECam_z,DECam,KN_Filters_clean
