MJD	band	Flux	Flux_err	FilterSet	Instr
57984.975	DECam_Y	1.0539100851386105e-16	2.9120611816748678e-18	GeneralFilters	DECam
57984.975	Sinistro_i	1.0108720981833845e-16	1.396571414518747e-17	GeneralFilters	Sinistro
57984.976	DECam_z	9.154052242830702e-17	2.529358108176136e-18	GeneralFilters	DECam
57984.976	DECam_i	1.1446487717752249e-16	3.1627814383263826e-18	GeneralFilters	DECam
57984.977	DECam_r	1.0375892054912338e-16	2.86696492465925e-18	GeneralFilters	DECam
57984.978	DECam_g	7.680642252259206e-17	3.537066470932569e-18	GeneralFilters	DECam
57984.978	Sinistro_i	1.1606364603990518e-16	1.0689856848404606e-17	GeneralFilters	Sinistro
57984.979	VISTA_Ks	2.417245817292553e-17	6.679097022004414e-19	GeneralFilters	VIRCAM
57984.98	DECam_u	1.681024120608023e-17	2.4772486918758124e-18	GeneralFilters	DECam
57984.98	FourStar_J1	1.1650939736871284e-16	1.0730912062998325e-18	GeneralFilters	FourStar
57984.982	Sinistro_z	9.958611385722791e-17	1.834444009894236e-17	GeneralFilters	Sinistro
57984.989	VISTA_J	7.397575908240676e-17	1.3626838408528906e-18	GeneralFilters	VIRCAM
57984.999	VISTA_Y	1.2691163900876243e-16	2.337798784865495e-18	GeneralFilters	VIRCAM
57985.0	IMACS_i	1.227983458547852e-16	2.262029124872777e-18	GeneralFilters	IMACS
57985.002	Sinistro_i	1.1606364603990518e-16	1.0689856848404606e-17	GeneralFilters	Sinistro
57985.006	Sinistro_i	1.1713756973440349e-16	1.1867645763596872e-17	GeneralFilters	Sinistro
57985.009	IMACS_r	1.0185087406778736e-16	1.8761624346909093e-18	GeneralFilters	IMACS
57985.01	Sinistro_V	1.1433096630881826e-16	1.8954488065641712e-17	GeneralFilters	Sinistro
57985.016	EFOSC2_V	9.270299616026214e-17	1.0245913777656204e-17	GeneralFilters	EFOSC2
57985.017	Sinistro_g	8.30453770074738e-17	2.5240914222374908e-17	GeneralFilters	Sinistro
57985.019	FLAMINGOS-2_J	6.705281342833242e-17	1.235158469141678e-18	GeneralFilters	FLAMINGOS-2
57985.019	FLAMINGOS-2_Ks	2.5744342033578296e-17	9.48456611128836e-19	GeneralFilters	FLAMINGOS-2
57985.054	EFOSC2_V	8.771901993685428e-17	1.615844061434146e-17	GeneralFilters	EFOSC2
57985.184	UVOT_B	1.1128942103503541e-16	1.0250134475334674e-17	GeneralFilters	UVOT
57985.231	GFC_i	1.1425844184935454e-16	9.471232258242428e-18	GeneralFilters	GFC
57985.231	GFC_y	8.473150910363749e-17	8.584466429833313e-18	GeneralFilters	GFC
57985.231	GFC_z	8.83386678217782e-17	5.695404390519749e-18	GeneralFilters	GFC
57985.357	Sinistro_r	8.213848786513685e-17	6.808710877890481e-18	GeneralFilters	Sinistro
57985.364	Sinistro_i	1.0881686491233544e-16	1.3029124732728987e-17	GeneralFilters	Sinistro
57985.367	Sinistro_i	1.0016043670809278e-16	1.291516399435946e-17	GeneralFilters	Sinistro
57985.384	Skymapper_r	8.321798780517014e-17	6.131727942056978e-18	GeneralFilters	Skymapper
57984.385	Skymapper_g	4.944872117535137e-17	5.0098350828148166e-18	GeneralFilters	Skymapper
57985.385	Sinistro_V	7.623666226550221e-17	1.4043312165768858e-17	GeneralFilters	Sinistro
57985.391	Sinistro_i	9.304567898697482e-17	1.5425682724978837e-17	GeneralFilters	Sinistro
57985.395	Sinistro_i	9.924216030479403e-17	1.371081113486993e-17	GeneralFilters	Sinistro
57985.397	Skymapper_r	8.095006660577087e-17	6.710198999158375e-18	GeneralFilters	Skymapper
57985.398	Skymapper_g	6.055570498424536e-17	6.6928638524329064e-18	GeneralFilters	Skymapper
57985.699	SIRIUS_H	4.758221209901612e-17	1.752993476331224e-18	GeneralFilters	SIRIUS
57985.699	SIRIUS_J	6.561264819840799e-17	3.021574113068261e-18	GeneralFilters	SIRIUS
57985.699	SIRIUS_Ks	2.684091023776692e-17	1.236069595915642e-18	GeneralFilters	SIRIUS
57985.726	Sinistro_r	5.735175384930831e-17	6.338750086583793e-18	GeneralFilters	Sinistro
57985.733	Sinistro_i	8.1789246923334e-17	1.5066136058682698e-17	GeneralFilters	Sinistro
57985.736	Sinistro_i	8.804327916195455e-17	1.2163628528202779e-17	GeneralFilters	Sinistro
57985.74	Sinistro_z	8.05747163370011e-17	2.5232099136499248e-17	GeneralFilters	Sinistro
57985.743	Sinistro_V	6.825962123559113e-17	1.1945192559599754e-17	GeneralFilters	Sinistro
57985.969	EFOSC2_V	3.656737375961671e-17	6.735959176720816e-18	GeneralFilters	EFOSC2
57985.973	FourStar_J	6.618524083235344e-17	6.095885956678287e-19	GeneralFilters	FourStar
57985.974	GROND_H	4.0607785574912133e-17	2.618080688281032e-18	GeneralFilters	GROND
57985.974	GROND_J	6.277850102761689e-17	4.047479537545827e-18	GeneralFilters	GROND
57985.974	GROND_K	2.4598983337837812e-17	2.265650093462747e-18	GeneralFilters	GROND
57985.974	GROND_g	3.566020251328684e-17	5.255081646080805e-18	GeneralFilters	GROND
57985.974	GROND_i	6.192808128484924e-17	5.703787072169462e-19	GeneralFilters	GROND
57985.974	GROND_r	5.660307367909581e-17	1.0426671493701859e-18	GeneralFilters	GROND
57985.974	GROND_z	5.768754325431243e-17	1.0626438171918097e-18	GeneralFilters	GROND
57985.979	VISTA_Ks	2.7247133362106995e-17	5.01910744849983e-19	GeneralFilters	VIRCAM
57985.983	DECam_Y	8.143358612238682e-17	2.250093137692551e-18	GeneralFilters	DECam
57985.984	DECam_z	6.450797168484293e-17	1.782421127768331e-18	GeneralFilters	DECam
57985.984	DECam_u	8.045887300405206e-18	2.371371540197197e-18	GeneralFilters	DECam
57985.984	DECam_i	8.292247319298083e-17	2.291232607786294e-18	GeneralFilters	DECam
57985.985	DECam_r	8.166302156154221e-17	3.0085768975413497e-18	GeneralFilters	DECam
57985.986	DECam_g	3.957286897151745e-17	2.915836741785278e-18	GeneralFilters	DECam
57985.989	VISTA_Y	1.0080949817940644e-16	9.284897909605915e-19	GeneralFilters	VIRCAM
57985.989	VISTA_J	6.153035634459425e-17	1.1334310502812202e-18	GeneralFilters	VIRCAM
57985.989	Swope_V	3.693502360477278e-17	4.082209668553588e-18	GeneralFilters	E2V4kx4kccd
57985.995	Swope_B	2.2069355433804675e-17	2.6424615793662675e-18	GeneralFilters	E2V4kx4kccd
57986.001	Swope_g	4.574468145061855e-17	2.1066204318357603e-18	GeneralFilters	E2V4kx4kccd
57986.005	Swope_i	7.205303034763742e-17	3.318164671672605e-18	GeneralFilters	E2V4kx4kccd
57986.008	Swope_r	5.268745188450515e-17	4.367424286698102e-18	GeneralFilters	E2V4kx4kccd
57986.016	EFOSC2_V	3.6232122061890725e-17	5.0056526488440285e-18	GeneralFilters	EFOSC2
57986.039	GMOS_g	4.281340138942174e-17	3.943259992790047e-19	GeneralFilters	GMOS
57986.039	GMOS_i	7.098735286171474e-17	6.538176819625177e-19	GeneralFilters	GMOS
57986.039	GMOS_r	6.103471723336143e-17	5.621505202261911e-19	GeneralFilters	GMOS
57986.049	GMOS_z	7.235402430328542e-17	6.664051911154365e-19	GeneralFilters	GMOS
57986.053	EFOSC2_V	3.2143544916147943e-17	9.177642672629362e-18	GeneralFilters	EFOSC2
57986.236	GFC_z	1.0718915459984465e-16	2.961745794145717e-17	GeneralFilters	GFC
57986.709	SIRIUS_H	3.9577160172892013e-17	1.458076464595437e-18	GeneralFilters	SIRIUS
57986.709	SIRIUS_J	4.753216179066692e-17	5.25344866448987e-18	GeneralFilters	SIRIUS
57986.709	SIRIUS_Ks	2.6351008414661666e-17	1.6989122965121001e-18	GeneralFilters	SIRIUS
57986.715	Sinistro_r	3.4557849060113055e-17	9.866976123372207e-18	GeneralFilters	Sinistro
57986.969	Sinistro_r	3.6186510310020125e-17	9.332122151231268e-18	GeneralFilters	Sinistro
57986.97	FORS2_R	3.3580980939191574e-17	1.8557535868511745e-18	GeneralFilters	FORS2
57986.973	FLAMINGOS-2_H	3.4932012733209516e-17	3.2173572715120404e-18	GeneralFilters	FLAMINGOS-2
57986.974	GROND_H	3.0804155508724565e-17	2.8371675710586897e-18	GeneralFilters	GROND
57986.974	GROND_J	5.1263817239480014e-17	3.3051004387918144e-18	GeneralFilters	GROND
57986.974	GROND_K	2.697224887720153e-17	2.7326595203239826e-18	GeneralFilters	GROND
57986.974	GROND_g	2.3560462155176866e-17	4.773997266936603e-18	GeneralFilters	GROND
57986.974	GROND_i	3.9800417198861914e-17	1.4663015573962024e-18	GeneralFilters	GROND
57986.974	GROND_r	2.916352493092157e-17	1.3430299552954839e-18	GeneralFilters	GROND
57986.974	GROND_z	4.256788219312459e-17	2.3523881034731612e-18	GeneralFilters	GROND
