MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err
57982.7461185145	Swope_i	1.6545251774198315e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.21759999450296164	-0.6623411199450593	-15.781326619660788	1.0271455592330537e+63
57982.769318513914	Swope_i	1.7901494582881081e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.24079999391688034	-0.6183435283854146	-15.747110708573109	9.493275439980338e+62
57982.796618513225	Swope_i	1.925856389408421e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.26809999322722433	-0.571703196988322	-15.715376101226457	8.824324586051241e+62
57982.83111851235	Swope_i	2.0615625926743627e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.302599992355681	-0.5191310872840337	-15.685803474716415	8.243446959432184e+62
57982.88161851108	Swope_i	2.197086826318481e-16	3.91310103959517e+47	SUDO_PTS	SUDO_PTS	0.3530999910799437	-0.4521022934081044	-15.658152779927056	7.73496144198225e+62
57982.5442185196	FLAMINGOS-2_Ks	2.5740744915984764e-19	3.9831548036226054e-20	SUDO_PTS	SUDO_PTS	0.01569999960338464	-1.8041003585619677	-18.589378889124696	0.06720326693830447
57982.61701851776	FLAMINGOS-2_Ks	1.5437437406127137e-18	2.1369190219081495e-19	SUDO_PTS	SUDO_PTS	0.08849999776430195	-1.0530567402733761	-17.811424790317957	0.060116981534801786
57982.68241851611	FLAMINGOS-2_Ks	2.8290566864377045e-18	3.4939123217691927e-19	SUDO_PTS	SUDO_PTS	0.153899996112159	-0.8127613911397229	-17.54835835040075	0.05363578781833475
57982.74261851459	FLAMINGOS-2_Ks	4.116807854780787e-18	4.518097443089882e-19	SUDO_PTS	SUDO_PTS	0.21409999459137907	-0.6693833436767632	-17.385439402508414	0.04766277313517246
57982.79881851317	FLAMINGOS-2_Ks	5.402735233918373e-18	5.2470920822636e-19	SUDO_PTS	SUDO_PTS	0.27029999317164766	-0.5681539652724762	-17.267386314945668	0.04217832336219483
57982.85211851182	FLAMINGOS-2_Ks	6.688302327001188e-18	5.724202441843287e-19	SUDO_PTS	SUDO_PTS	0.3235999918251764	-0.48999149803096687	-17.174684103992966	0.037169215927239554
57982.90341851053	FLAMINGOS-2_Ks	7.976205859900865e-18	5.997035506022001e-19	SUDO_PTS	SUDO_PTS	0.3748999905292294	-0.4260845705496509	-17.098203645736362	0.032653111940563695
57982.95321850927	FLAMINGOS-2_Ks	9.26281307764103e-18	6.122251766260155e-19	SUDO_PTS	SUDO_PTS	0.4246999892711756	-0.3719177499805221	-17.03325709986616	0.028704672507397253
57983.00211850803	FLAMINGOS-2_Ks	1.054918242277952e-17	6.173373938712721e-19	SUDO_PTS	SUDO_PTS	0.4735999880358577	-0.3245883172563382	-16.97678119752593	0.025414881730729103
57983.05061850681	FLAMINGOS-2_Ks	1.1835127281144172e-17	6.241090292257372e-19	SUDO_PTS	SUDO_PTS	0.5220999868106446	-0.282246317760486	-16.926827067079948	0.02290191740739177
57982.536118519805	FourStar_H	5.062538435811577e-19	5.062538435811577e-20	SUDO_PTS	SUDO_PTS	0.007599999808007851	-2.1191864186904104	-18.295631666513568	0.04342944819032518
