MJD	band	Flux	Flux_err	FilterSet	Instr
57984.699	SIRIUS_J	7.123394800007487e-17	2.6243555224965206e-18	GeneralFilters	SIRIUS
57984.699	SIRIUS_Ks	2.5380296298350873e-17	9.350446328322956e-19	GeneralFilters	SIRIUS
57984.738	Sinistro_r	1.2196806998458336e-16	1.123367393701501e-17	GeneralFilters	Sinistro
57984.741	Sinistro_r	1.2538516379508405e-16	1.2703239884602776e-17	GeneralFilters	Sinistro
57984.745	Sinistro_i	1.3073613982479607e-16	1.4449491576864413e-17	GeneralFilters	Sinistro
57984.748	Sinistro_i	1.3944265964125068e-16	1.9264714586969877e-17	GeneralFilters	Sinistro
57984.751	Sinistro_V	1.465086688012371e-16	9.445762568269938e-18	GeneralFilters	Sinistro
57984.751	Sinistro_z	9.41668913053998e-17	2.60192725699887e-17	GeneralFilters	Sinistro
57984.758	Sinistro_g	1.0162835810924923e-16	1.965666636835419e-17	GeneralFilters	Sinistro
57984.761	Sinistro_g	1.145552267360526e-16	2.1101851740360628e-17	GeneralFilters	Sinistro
57984.761	GFC_r	1.3582612271811458e-16	8.757033397778478e-18	GeneralFilters	GFC
57984.962	FourStar_Ks	2.6956538500411853e-17	1.4896733088708116e-18	GeneralFilters	FourStar
57984.963	FourStar_J	8.718878018378331e-17	8.030383096778525e-19	GeneralFilters	FourStar
57984.968	FLAMINGOS-2_H	4.235679177791601e-17	3.511084082256298e-18	GeneralFilters	FLAMINGOS-2
57984.968	Sinistro_r	1.0429083667853505e-16	1.0566094711634631e-17	GeneralFilters	Sinistro
57984.969	GROND_H	4.3682627719933937e-17	3.2186548271557786e-18	GeneralFilters	GROND
57984.969	GROND_J	7.682638352543517e-17	6.368374019152949e-18	GeneralFilters	GROND
57984.969	GROND_K	2.3912038789630726e-17	2.2023800734549265e-18	GeneralFilters	GROND
57984.969	GROND_g	8.469996939402088e-17	8.581270677184087e-18	GeneralFilters	GROND
57984.969	GROND_i	9.366709963901573e-17	3.4508233379632244e-18	GeneralFilters	GROND
57984.969	GROND_r	1.0581310613235242e-16	1.6567769626925382e-17	GeneralFilters	GROND
57984.969	GROND_z	8.409719146554882e-17	4.647382358659085e-18	GeneralFilters	GROND
57984.971	FourStar_H	4.8560833477085556e-17	4.472617870067649e-19	GeneralFilters	FourStar
57984.971	EFOSC2_V	1.0442229140361337e-16	1.0579412881469183e-17	GeneralFilters	EFOSC2
57984.975	DECam_Y	1.0531809831165966e-16	2.9100464808050674e-18	GeneralFilters	DECam
57984.975	Sinistro_i	1.0101727701271963e-16	1.3956052007447424e-17	GeneralFilters	Sinistro
57984.976	DECam_z	9.147719408461113e-17	2.5276081792988307e-18	GeneralFilters	DECam
57984.976	DECam_i	1.1438568961236564e-16	3.1605932773990877e-18	GeneralFilters	DECam
57984.977	DECam_r	1.0368713943612613e-16	2.8649814234970055e-18	GeneralFilters	DECam
57984.978	DECam_g	7.675328732748088e-17	3.5346193620147255e-18	GeneralFilters	DECam
57984.978	Sinistro_i	1.1598335243578976e-16	1.0682461102737877e-17	GeneralFilters	Sinistro
57984.979	VISTA_Ks	2.4155735505279398e-17	6.674476108595324e-19	GeneralFilters	VIRCAM
57984.98	DECam_u	1.6798611769072226e-17	2.4755348147351797e-18	GeneralFilters	DECam
57984.98	FourStar_J1	1.1642879539137926e-16	1.0723487913411073e-18	GeneralFilters	FourStar
57984.982	Sinistro_z	9.951721951975211e-17	1.8331748552663187e-17	GeneralFilters	Sinistro
57984.989	VISTA_J	7.392458215910889e-17	1.3617410720890206e-18	GeneralFilters	VIRCAM
57984.999	VISTA_Y	1.2682384069020175e-16	2.336181385726701e-18	GeneralFilters	VIRCAM
57985.0	IMACS_i	1.2271339313976884e-16	2.2604641467530498e-18	GeneralFilters	IMACS
57985.002	Sinistro_i	1.1598335243578976e-16	1.0682461102737877e-17	GeneralFilters	Sinistro
57985.006	Sinistro_i	1.1705653318270834e-16	1.1859435168181047e-17	GeneralFilters	Sinistro
57985.009	IMACS_r	1.0178041295421006e-16	1.8748644172933074e-18	GeneralFilters	IMACS
57985.01	Sinistro_V	1.142518713841116e-16	1.8941374459499984e-17	GeneralFilters	Sinistro
57985.016	EFOSC2_V	9.26388636095237e-17	1.0238825172682486e-17	GeneralFilters	EFOSC2
57985.017	Sinistro_g	8.29879256620849e-17	2.5223451371006118e-17	GeneralFilters	Sinistro
57985.019	FLAMINGOS-2_J	6.700642584494851e-17	1.2343039284315354e-18	GeneralFilters	FLAMINGOS-2
57985.019	FLAMINGOS-2_Ks	2.5726531926220273e-17	9.478004242434727e-19	GeneralFilters	FLAMINGOS-2
57985.054	EFOSC2_V	8.765833533396644e-17	1.6147261445242502e-17	GeneralFilters	EFOSC2
57985.184	UVOT_B	1.1121243027162016e-16	1.0243042950281905e-17	GeneralFilters	UVOT
57985.231	GFC_i	1.1417939709752003e-16	9.464679614367547e-18	GeneralFilters	GFC
57985.231	GFC_y	8.467289128077774e-17	8.578527292268353e-18	GeneralFilters	GFC
57985.231	GFC_z	8.827755454242167e-17	5.691464041929548e-18	GeneralFilters	GFC
57985.357	Sinistro_r	8.208166391165226e-17	6.804000291521021e-18	GeneralFilters	Sinistro
57985.364	Sinistro_i	1.0874158467976981e-16	1.3020110571474999e-17	GeneralFilters	Sinistro
57985.367	Sinistro_i	1.0009114505025704e-16	1.2906228676607912e-17	GeneralFilters	Sinistro
57985.384	Skymapper_r	8.31604170463987e-17	6.127485724317992e-18	GeneralFilters	Skymapper
57984.385	Skymapper_g	4.941451222038585e-17	5.006369043310944e-18	GeneralFilters	Skymapper
57985.385	Sinistro_V	7.618392123429062e-17	1.403359634195923e-17	GeneralFilters	Sinistro
57985.391	Sinistro_i	9.298130936593088e-17	1.5415010512249862e-17	GeneralFilters	Sinistro
57985.395	Sinistro_i	9.917350391668322e-17	1.3701325350975715e-17	GeneralFilters	Sinistro
57985.397	Skymapper_r	8.089406481002766e-17	6.705556567945786e-18	GeneralFilters	Skymapper
57985.398	Skymapper_g	6.051381214380503e-17	6.688233414481716e-18	GeneralFilters	Skymapper
57985.699	SIRIUS_H	4.754929440753772e-17	1.7517806730110668e-18	GeneralFilters	SIRIUS
57985.699	SIRIUS_J	6.556725693089985e-17	3.019483646007314e-18	GeneralFilters	SIRIUS
57985.699	SIRIUS_Ks	2.6822341517103376e-17	1.2352144248425677e-18	GeneralFilters	SIRIUS
57985.726	Sinistro_r	5.731207752366983e-17	6.3343646411959404e-18	GeneralFilters	Sinistro
57985.733	Sinistro_i	8.173266457711336e-17	1.5055712597203918e-17	GeneralFilters	Sinistro
57985.736	Sinistro_i	8.798237023453188e-17	1.2155213157985434e-17	GeneralFilters	Sinistro
57985.74	Sinistro_z	8.051897421109984e-17	2.5214642383786324e-17	GeneralFilters	Sinistro
57985.743	Sinistro_V	6.821239877461026e-17	1.1936928313656712e-17	GeneralFilters	Sinistro
57985.969	EFOSC2_V	3.654207620666405e-17	6.731298923395058e-18	GeneralFilters	EFOSC2
57985.973	FourStar_J	6.613945344159933e-17	6.09166853610441e-19	GeneralFilters	FourStar
57985.974	GROND_H	4.0579692838035974e-17	2.616269376940638e-18	GeneralFilters	GROND
57985.974	GROND_J	6.273507044204526e-17	4.044679300872242e-18	GeneralFilters	GROND
57985.974	GROND_K	2.4581965597199072e-17	2.264082610181893e-18	GeneralFilters	GROND
57985.974	GROND_g	3.563553254742093e-17	5.251445933476195e-18	GeneralFilters	GROND
57985.974	GROND_i	6.188523902535481e-17	5.699840924047975e-19	GeneralFilters	GROND
57985.974	GROND_r	5.656391529538206e-17	1.0419457832043733e-18	GeneralFilters	GROND
57985.974	GROND_z	5.764763462736848e-17	1.061908630227438e-18	GeneralFilters	GROND
57985.979	VISTA_Ks	2.7228283613566135e-17	5.015634993949118e-19	GeneralFilters	VIRCAM
57985.983	DECam_Y	8.13772498245749e-17	2.2485364174485057e-18	GeneralFilters	DECam
57985.984	DECam_z	6.446334463992288e-17	1.7811879650109153e-18	GeneralFilters	DECam
57985.984	DECam_u	8.040321101933294e-18	2.369730913849736e-18	GeneralFilters	DECam
57985.984	DECam_i	8.286510687319839e-17	2.289647425314957e-18	GeneralFilters	DECam
57985.985	DECam_r	8.160652653868005e-17	3.0064954225641066e-18	GeneralFilters	DECam
57985.986	DECam_g	3.9545492196939424e-17	2.913819428804301e-18	GeneralFilters	DECam
57985.989	VISTA_Y	1.0073975749642121e-16	9.278474180602015e-19	GeneralFilters	VIRCAM
57985.989	VISTA_J	6.148778923389728e-17	1.1326468893829945e-18	GeneralFilters	VIRCAM
57985.989	Swope_V	3.690947170923255e-17	4.0793854039431734e-18	GeneralFilters	E2V4kx4kccd
57985.995	Swope_B	2.2054087706570146e-17	2.6406334001688188e-18	GeneralFilters	E2V4kx4kccd
57986.001	Swope_g	4.571303497505411e-17	2.1051629727586247e-18	GeneralFilters	E2V4kx4kccd
57986.005	Swope_i	7.200318358090358e-17	3.315869009313558e-18	GeneralFilters	E2V4kx4kccd
57986.008	Swope_r	5.2651002354008675e-17	4.3644026971907585e-18	GeneralFilters	E2V4kx4kccd
57986.016	EFOSC2_V	3.620705643834675e-17	5.002189502940442e-18	GeneralFilters	EFOSC2
57986.039	GMOS_g	4.278378279292828e-17	3.940531860092366e-19	GeneralFilters	GMOS
57986.039	GMOS_i	7.093824333772325e-17	6.533653401435178e-19	GeneralFilters	GMOS
57986.039	GMOS_r	6.099249300910192e-17	5.617615980620554e-19	GeneralFilters	GMOS
57986.049	GMOS_z	7.230396930689014e-17	6.659441406664494e-19	GeneralFilters	GMOS
57986.053	EFOSC2_V	3.2121307797520065e-17	9.1712931478351e-18	GeneralFilters	EFOSC2
57986.236	GFC_z	1.0711500042804896e-16	2.959696719123686e-17	GeneralFilters	GFC
57986.709	SIRIUS_H	3.954978042964924e-17	1.4570676987283636e-18	GeneralFilters	SIRIUS
57986.709	SIRIUS_J	4.7499278724203406e-17	5.2498140816622165e-18	GeneralFilters	SIRIUS
57986.709	SIRIUS_Ks	2.6332778611325525e-17	1.6977369090913914e-18	GeneralFilters	SIRIUS
57986.715	Sinistro_r	3.453394170973762e-17	9.860149685289086e-18	GeneralFilters	Sinistro
57986.969	Sinistro_r	3.61614762409913e-17	9.325665750277988e-18	GeneralFilters	Sinistro
57986.97	FORS2_R	3.3557749392725984e-17	1.854469689248782e-18	GeneralFilters	FORS2
57986.973	FLAMINGOS-2_H	3.4907846533914007e-17	3.2151313524510572e-18	GeneralFilters	FLAMINGOS-2
57986.974	GROND_H	3.078284498850862e-17	2.8352046851165423e-18	GeneralFilters	GROND
57986.974	GROND_J	5.122835258889113e-17	3.3028138148872346e-18	GeneralFilters	GROND
57986.974	GROND_K	2.6953589295639508e-17	2.730768937963767e-18	GeneralFilters	GROND
57986.974	GROND_g	2.3544162870387897e-17	4.770694391127469e-18	GeneralFilters	GROND
57986.974	GROND_i	3.9772883004881033e-17	1.465287101024196e-18	GeneralFilters	GROND
57986.974	GROND_r	2.91433494098926e-17	1.3421007840201708e-18	GeneralFilters	GROND
57986.974	GROND_z	4.253843344844241e-17	2.3507606107710562e-18	GeneralFilters	GROND
57986.975	DECam_Y	6.173095683447429e-17	1.7056893029155386e-18	GeneralFilters	DECam
57986.978	DECam_z	5.1205054752230254e-17	1.4148478919579627e-18	GeneralFilters	DECam
57986.979	VISTA_Ks	2.5764413795396115e-17	4.745980219122778e-19	GeneralFilters	VIRCAM
57986.98	VIMOS_z	5.721480595742705e-17	5.269678159015962e-19	GeneralFilters	VIMOS
57986.98	DECam_i	5.2768128896405333e-17	1.4580372248948822e-18	GeneralFilters	DECam
57986.984	DECam_r	3.3707371932872157e-17	1.5522817800381813e-18	GeneralFilters	DECam
57986.988	Swope_i	4.670374419562628e-17	1.7206294532646049e-18	GeneralFilters	E2V4kx4kccd
57986.989	VISTA_Y	7.571830807214994e-17	1.3947827231401174e-18	GeneralFilters	VIRCAM
57986.989	VISTA_J	5.0209844742190325e-17	1.3873492242674838e-18	GeneralFilters	VIRCAM
57986.991	DECam_g	1.892766258118509e-17	1.9176322855557276e-18	GeneralFilters	DECam
57986.997	Swope_r	2.6146083485641562e-17	2.889771822851423e-18	GeneralFilters	E2V4kx4kccd
57987.004	Swope_g	1.853702586370408e-17	1.7073231079282812e-18	GeneralFilters	E2V4kx4kccd
57987.01	FORS2_I	4.8447189168002835e-17	2.677290505685618e-18	GeneralFilters	FORS2
57987.02	FORS2_B	9.597231173515586e-18	1.149118908167815e-18	GeneralFilters	FORS2
57987.02	FORS2_V	2.2138343287772638e-17	1.0195083435870505e-18	GeneralFilters	FORS2
57987.039	FLAMINGOS-2_Ks	2.3034630226485016e-17	1.909410985442931e-18	GeneralFilters	FLAMINGOS-2
57987.049	FLAMINGOS-2_H	3.1836334417506553e-17	2.0525642503676033e-18	GeneralFilters	FLAMINGOS-2
57987.049	FLAMINGOS-2_J	4.6786057806321906e-17	2.585492997940331e-18	GeneralFilters	FLAMINGOS-2
57987.358	Sinistro_r	2.411271714230046e-17	7.32884866573311e-18	GeneralFilters	Sinistro
57987.709	SIRIUS_H	3.3817700747288966e-17	1.5573626095014929e-18	GeneralFilters	SIRIUS
57987.709	SIRIUS_J	4.024269108704001e-17	2.2238932045661917e-18	GeneralFilters	SIRIUS
57987.709	SIRIUS_Ks	2.3795601533827325e-17	8.7666232252331e-19	GeneralFilters	SIRIUS
57987.975	DECam_Y	3.967372773569175e-17	6.5773533872441655e-18	GeneralFilters	DECam
57987.977	DECam_z	3.675469598543076e-17	3.723755712848654e-18	GeneralFilters	DECam
57987.979	DECam_i	3.8937825528617425e-17	6.455351015637579e-18	GeneralFilters	DECam
57987.983	DECam_r	2.04986326734813e-17	4.531185034999621e-18	GeneralFilters	DECam
57987.99	DECam_g	1.4358100381836027e-17	5.554205423360188e-18	GeneralFilters	DECam
57988.002	Swope_i	2.076594497728953e-17	2.2951369639462077e-18	GeneralFilters	E2V4kx4kccd
57988.234	GFC_y	3.799656961453833e-17	1.5398298299322858e-17	GeneralFilters	GFC
57988.729	SIRIUS_H	2.865128315630871e-17	1.0555522372232105e-18	GeneralFilters	SIRIUS
57988.729	SIRIUS_H	1.8413827769897774e-17	3.052757060329331e-18	GeneralFilters	SIRIUS
57988.729	SIRIUS_J	3.843147162976203e-17	1.769834602051052e-18	GeneralFilters	SIRIUS
57988.729	SIRIUS_J	2.9423004278347813e-17	5.148921591269756e-18	GeneralFilters	SIRIUS
57988.729	SIRIUS_Ks	2.3577442147617104e-17	6.51468775529985e-19	GeneralFilters	SIRIUS
57988.729	SIRIUS_Ks	1.7558875030227013e-17	1.6172320904632344e-18	GeneralFilters	SIRIUS
57988.974	DECam_Y	3.209985041608531e-17	9.165166624722738e-18	GeneralFilters	DECam
57988.98	FORS2_I	2.194161472736872e-17	1.4146281225152158e-18	GeneralFilters	FORS2
57988.985	DECam_r	1.7689880255790698e-17	5.7025434100394686e-18	GeneralFilters	DECam
57988.989	VISTA_Ks	2.065476535573994e-17	5.707122346405596e-19	GeneralFilters	VIRCAM
57988.996	DECam_g	1.3711879413956642e-17	6.567135714957957e-18	GeneralFilters	DECam
57988.999	VISTA_Y	4.199532059846156e-17	1.5471647244857256e-18	GeneralFilters	VIRCAM
57988.999	VISTA_J	2.733939366088394e-17	1.0072204440434522e-18	GeneralFilters	VIRCAM
57989.0	FORS2_R	1.2995494998748233e-17	1.3166222014658207e-18	GeneralFilters	FORS2
57989.02	FORS2_B	3.549326535828363e-18	8.172626041509898e-19	GeneralFilters	FORS2
57989.02	FORS2_V	6.809968727123152e-18	1.003554037859453e-18	GeneralFilters	FORS2
57989.23	GFC_y	2.727372075717359e-17	1.0801610373280501e-17	GeneralFilters	GFC
57989.234	LRIS_I	1.2773192105212014e-17	1.058808979564237e-18	GeneralFilters	LRIS
57989.699	SIRIUS_H	2.0005254318099655e-17	9.212759702822442e-19	GeneralFilters	SIRIUS
57989.699	SIRIUS_H	1.9640117276377637e-17	3.07516668184897e-18	GeneralFilters	SIRIUS
57989.699	SIRIUS_J	2.2319631235468064e-17	6.578284555321967e-18	GeneralFilters	SIRIUS
57989.699	SIRIUS_J	2.1711359320042715e-17	1.5997520095964782e-18	GeneralFilters	SIRIUS
57989.699	SIRIUS_Ks	1.855652657407062e-17	6.836476758650514e-19	GeneralFilters	SIRIUS
57989.699	SIRIUS_Ks	1.7397894296331503e-17	1.9228862610415345e-18	GeneralFilters	SIRIUS
